لَا,lā
لَا,lā
لَا,lā
مَنّ,mann
مِنْ,min
مَنْ,man
مَنّ,mann
فِي,fī
فِي,fī
أَنْ,ʾan
أَنَّ,ʾanna
أَنّ,ʾann
هٰذَا,hāḏā
عَلَى,ʿalā
عُلًى,ʿulan
مَا,mā
مَا,mā
مَا,mā
مَا,mā
أَنَا,ʾanā
هَلْ,hal
وَ,wa
وَ,wa
ـَوـ,-aw-
يَا,yā
ذٰلِكَ,ḏālika
لَقَدْ,laqad
لَمْ,lam
لِمَ,lima
لُمْ,lum
مَاذَا,māḏā
هُنَا,hunā
أَنْتَ,ʾanta
أَنْتِ,ʾanti
إِلَى,ʾilā
إِلًى,ʾilan
هُوَ,huwa
هُوَ,huwa
عَنْ,ʿan
عَنّ,ʿann
ـَان,-ān
ـَانِ,-āni
نَعَم,naʿam
نَعَمْ,naʿam
نَعُمُّ,naʿummu
نَعُمَّ,naʿumma
نَعُمِّ,naʿummi
نُعَمُّ,nuʿammu
نُعَمَّ,nuʿamma
نُعَمِّ,nuʿammi
نَعْمَ,naʿma
نُعَمِّ,nuʿammi
نُعَمَّ,nuʿamma
هُنَاكَ,hunāka
كُلّ,kull
كُلْ,kul
لَيْسَ,laysa
لَيْسَ,laysa
لَيْسَ,laysa
لَيَس,layas
لِيس,līs
كُنْتُ,kuntu
كُنْتَ,kunta
كُنْتِ,kunti
فَقَطْ,faqaṭ
الْآنَ,al-ʾāna
الْآنَ,al-ʾāna
مَعَ,maʿa
شَيْء,šayʾ
شِيءَ,šīʾa
اَلَّذِي,allaḏī
لٰكِنَّ,lākinna
لٰكِنْ,lākin
يَجِبُ,yajibu
يَجِبَ,yajiba
يَجِبْ,yajib
يَجُبْ,yajub
يُجَبْ,yujab
يَجُبُّ,yajubbu
يَجُبَّ,yajubba
يَجُبِّ,yajubbi
يُجَبُّ,yujabbu
يُجَبَّ,yujabba
يُجَبِّ,yujabbi
يُجِبْ,yujib
يُجَبْ,yujab
لَكّ,lakk
لَنْ,lan
كَيْفَ,kayfa
كَيْف,kayf
أَجَل,ʾajal
أَجَل,ʾajal
أَجْل,ʾajl
أَجَلّ,ʾajall
حَسَنًا,ḥasanan
حَسُنَّا,ḥasunnā
حَسَّنَّا,ḥassannā
حُسِّنَّا,ḥussinnā
لِي,lī
لِيَ,lī
لِي,lī
نَحْنُ,naḥnu
نَحْنُ,naḥnu
نَحْنِ,naḥni
نُحْنَ,nuḥna
سَوْفَ,sawfa
كَانَتْ,kānat
عِنْدَمَا,ʿindamā
إِذَا,ʾiḏā
إِذًا,ʾiḏan
أَيّ,ʾayy
أَيْ,ʾay
قَدّ,qadd
قَدْ,qad
قُدّ,qudd
قُدْ,qud
أُنْهِ,ʾunhi
أُنْهَ,ʾunha
أَنْهِ,ʾanhi
هِيَ,hiya
بُعْد,buʿd
بَعَد,baʿad
بَعْدَ,baʿda
بَعْدُ,baʿdu
حَتَّى,ḥattā
حَتَّى,ḥattā
حَتَّى,ḥattā
قَبْلُ,qablu
قَبْلَ,qabla
قِبَلَ,qibala
قِبَل,qibal
قُبَل,qubal
أَوْ,ʾaw
لَوْ,law
أَيْنَ,ʾayna
أَيْن,ʾayn
اَلَّتِي,allatī
إِلَى,ʾilā
إِلًى,ʾilan
هَيَّا,hayyā
تِلْكَ,tilka
رُبَّمَا,rubbamā
رُبَمَا,rubbamā
أَعْرَف,ʾaʿraf
أَعْرِفُ,ʾaʿrifu
أَعْرِفَ,ʾaʿrifa
أَعْرِفْ,ʾaʿrif
أُعْرَفُ,ʾuʿrafu
أُعْرَفَ,ʾuʿrafa
أُعْرَفْ,ʾuʿraf
أُعَرِّفُ,ʾuʿarrifu
أُعَرِّفَ,ʾuʿarrifa
أُعَرِّفْ,ʾuʿarrif
أُعَرَّفُ,ʾuʿarrafu
أُعَرَّفَ,ʾuʿarrafa
أُعَرَّفْ,ʾuʿarraf
بَعْض,baʿḍ
يَكُونُ,yakūnu
يَكُونَ,yakūna
يُكَوِّنُ,yukawwinu
يُكَوِّنَ,yukawwina
يُكَوِّنْ,yukawwin
يُكَوَّنُ,yukawwanu
يُكَوَّنَ,yukawwana
يُكَوَّنْ,yukawwan
يُكَوِّنَّ,yukawwinna
يُكَوَّنَّ,yukawwanna
أُرِيدُ,ʾurīdu
أُرِيدَ,ʾurīda
إِن,ʾin
إِنَّ,ʾinna
إِنْ,ʾin
أَعْتَقِدُ,ʾaʿtaqidu
أَعْتَقِدَ,ʾaʿtaqida
أَعْتَقِدْ,ʾaʿtaqid
أُعْتَقَدُ,ʾuʿtaqadu
أُعْتَقَدَ,ʾuʿtaqada
أُعْتَقَدْ,ʾuʿtaqad
مِثْل,miṯl
مَثَل,maṯal
مُثُل,muṯul
مِثْلُ,miṯlu
مِثْلَ,miṯlu
مِثْلِ,miṯlu
مُثْل,muṯl
أَنِكْ,ʾanik
أُنَكْ,ʾunak
صَحِيح,ṣaḥīḥ
أَحَد,ʾaḥad
أَحَد,ʾaḥad
أَحَد,ʾaḥad
أَحَد,ʾaḥad
أَحَدّ,ʾaḥadd
أُحُد,ʾuḥud
أَحَدُّ,ʾaḥaddu
أَحَدَّ,ʾaḥadda
أَحَدِّ,ʾaḥaddi
أَحِدُّ,ʾaḥiddu
أَحِدَّ,ʾaḥidda
أَحِدِّ,ʾaḥiddi
أَحُدُّ,ʾaḥuddu
أَحُدَّ,ʾaḥudda
أَحُدِّ,ʾaḥuddi
أُحَدُّ,ʾuḥaddu
أُحَدَّ,ʾuḥadda
أُحَدِّ,ʾuḥaddi
أَحِدُ,ʾaḥidu
أَحِدَ,ʾaḥida
أَحِدْ,ʾaḥid
شَخْص,šaḵṣ
رَجُل,rajul
رِجْل,rijl
رِجْل,rijl
رِجْل,rijl
رِجْل,rijl
رَجِل,rajil
رَجْل,rajl
أَعْلَم,ʾaʿlam
أَعْلَمُ,ʾaʿlamu
أَعْلَمَ,ʾaʿlama
أَعْلَمْ,ʾaʿlam
أُعْلَمُ,ʾuʿlamu
أُعْلَمَ,ʾuʿlama
أُعْلَمْ,ʾuʿlam
أُعَلِّمُ,ʾuʿallimu
أُعَلِّمَ,ʾuʿallima
أُعَلِّمْ,ʾuʿallim
أُعَلَّمُ,ʾuʿallamu
أُعَلَّمَ,ʾuʿallama
أُعَلَّمْ,ʾuʿallam
جَيِّد,jayyid
جِيد,jīd
أَكْثَر,ʾakṯar
أَكْثَرَ,ʾakṯara
أَكْثُرُ,ʾakṯuru
أَكْثُرَ,ʾakṯura
أَكْثُرْ,ʾakṯur
أُكْثَرُ,ʾukṯaru
أُكْثَرَ,ʾukṯara
أُكْثَرْ,ʾukṯar
أُكَثِّرُ,ʾukaṯṯiru
أُكَثِّرَ,ʾukaṯṯira
